pmid,lab_name,institution,country,city,latitude,longitude,bsl_level_inferred,pathogens,research_types,ppp_or_gof,confidence,source_pmid
40631099,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40631099
40624061,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,40624061
40611900,,National Institute of Allergy and Infectious Diseases,,,,,,MERS-CoV,hDPP4,False,0.9,40611900
40608426,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40608426
40599489,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40599489
40593808,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40593808
40593471,,National Institute of Allergy and Infectious Diseases,,,,,,HPAI-CoV-2,experimental,False,0.9,40593471
40592451,,National Institute of Allergy and Infectious Diseases,,,,,,H18N11; SARS-CoV-2,experimental,False,0.9,40592451
40585204,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40585204
40573979,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40573979
40568176,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40568176
40568173,,National Institute of Allergy and Infectious Diseases,,,,,,HA stem antigen,human; macaque,False,0.9,40568173
40568123,,National Institute of Allergy and Infectious Diseases,,,,,,HA,experimental,False,0.9,40568123
40568098,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40568098
40531973,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40531973
40498855,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40498855
40497015,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,40497015
40492736,,National Institute of Allergy and Infectious Diseases,,,,,,EBOV,experimental,False,0.9,40492736
40491485,,National Institute of Allergy and Infectious Diseases,,,,,,EBOV,human immunodeficiency virus,False,0.9,40491485
40483362,,National Institute of Allergy and Infectious Diseases,,,,,,,,False,0.0,40483362
40475854,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40475854
40475132,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40475132
40461945,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40461945
40461490,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40461490
40447644,,National Institute of Allergy and Infectious Diseases,,,,,,CCHFV,experimental,False,0.9,40447644
40440413,,National Institute of Allergy and Infectious Diseases,,,,,,DCM,clinical,False,0.9,40440413
40437102,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40437102
40434773,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40434773
40432103,,National Institute of Allergy and Infectious Diseases,,,,,,Bacillus influenzae,experimental,False,0.9,40432103
40431651,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40431651
40410375,,National Institute of Allergy and Infectious Diseases,,,,,,VN1203,experimental,False,0.9,40410375
40402577,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,clinical,False,0.9,40402577
40399314,,National Institute of Allergy and Infectious Diseases,,,,,,MPXV,experimental,False,0.9,40399314
40394759,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40394759
40379380,,National Institute of Allergy and Infectious Diseases,,,,,,EBOV; MARV,filovirus,False,0.9,40379380
40368926,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40368926
40340168,,National Institute of Allergy and Infectious Diseases,,,,,,mpox,experimental,False,0.9,40340168
40333087,,National Institute of Allergy and Infectious Diseases,,,,,,H5N1,experimental,False,0.9,40333087
40330596,,National Institute of Allergy and Infectious Diseases,,,,,,WHIM,experimental,False,0.9,40330596
40328820,,National Institute of Allergy and Infectious Diseases,,,,,,SUDV,experimental,False,0.9,40328820
40321290,,National Institute of Allergy and Infectious Diseases,,,,,,Plasmodium falciparum,clinical,False,0.9,40321290
40321289,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40321289
40305570,,National Institute of Allergy and Infectious Diseases,,,,,,HIV-1,experimental,False,0.9,40305570
40301359,,National Institute of Allergy and Infectious Diseases,,,,,,IAV,experimental,False,0.9,40301359
40298376,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,40298376
40297751,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40297751
40295878,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40295878
40295821,,National Institute of Allergy and Infectious Diseases,,,,,,MERS-CoV,experimental,False,0.9,40295821
40291761,,National Institute of Allergy and Infectious Diseases,,,,,,EBOV,experimental,False,0.8,40291761
40263387,,National Institute of Allergy and Infectious Diseases,,,,,,H1ssF,experimental,False,0.9,40263387
40258004,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40258004
40256048,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40256048
40244690,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40244690
40239067,,National Institute of Allergy and Infectious Diseases,,,,,,Tecovirimat,clinical,False,0.9,40239067
40228023,,National Institute of Allergy and Infectious Diseases,,,,,,Ebola virus,experimental,False,0.9,40228023
40222009,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40222009
40213436,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40213436
40202253,,National Institute of Allergy and Infectious Diseases,,,,,,WHIM,experimental,False,0.9,40202253
40194662,,National Institute of Allergy and Infectious Diseases,,,,,,EBOV,experimental,False,0.9,40194662
40178760,,National Institute of Allergy and Infectious Diseases,,,,,,WHIM syndrome,experimental,False,0.9,40178760
40168094,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40168094
40139568,,National Institute of Allergy and Infectious Diseases,,,,,,H1N1 virus,clinical,False,0.9,40139568
40133326,,National Institute of Allergy and Infectious Diseases,,,,,,EBOV,experimental,False,0.9,40133326
40124489,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40124489
40118946,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40118946
40112805,,National Institute of Allergy and Infectious Diseases,,,,,,H1N1,experimental,False,0.9,40112805
40107003,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40107003
40106432,,National Institute of Allergy and Infectious Diseases,,,,,,NiV,experimental,False,0.9,40106432
40100819,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40100819
40086141,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40086141
40081398,,National Institute of Allergy and Infectious Diseases,,,,,,,,False,0.0,40081398
40074901,,National Institute of Allergy and Infectious Diseases,,,,,,,,False,0.0,40074901
40044048,,National Institute of Allergy and Infectious Diseases,,,,,,COVID,experimental,False,0.9,40044048
40034696,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40034696
40027781,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,40027781
40023164,,National Institute of Allergy and Infectious Diseases,,,,,,H2-naive individuals,experimental,False,0.9,40023164
40005201,,National Institute of Allergy and Infectious Diseases,,,,,,EBOV,experimental,False,0.9,40005201
39970958,,National Institute of Allergy and Infectious Diseases,,,,,,Pichinde virus,experimental,False,0.9,39970958
39968620,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39968620
39960062,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39960062
39950273,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,phytochemicals,False,0.9,39950273
39947217,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39947217
39947075,,National Institute of Allergy and Infectious Diseases,,,,,,IAV,experimental,False,0.9,39947075
39931577,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39931577
39929974,,National Institute of Allergy and Infectious Diseases,,,,,,IAV,experimental,False,0.9,39929974
39922466,,National Institute of Allergy and Infectious Diseases,,,,,,,,False,0.0,39922466
39917335,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,39917335
39902315,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39902315
39900911,,National Institute of Allergy and Infectious Diseases,,,,,,EBOV,experimental,False,0.9,39900911
39894227,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,39894227
39887251,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39887251
39884302,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39884302
39899769,,National Institute of Allergy and Infectious Diseases,,,,,,APDS1,APDS1,False,0.9,39899769
39867363,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39867363
39852525,,National Institute of Allergy and Infectious Diseases,,,,,,Marburgvirus,filovirus,False,0.9,39852525
39850579,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,39850579
39847599,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39847599
39844430,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39844430
39840037,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39840037
39836844,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39836844
39824819,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39824819
39824796,,National Institute of Allergy and Infectious Diseases,,,,,,Mpox; Zaire-1979 005,experimental,False,0.9,39824796
39814072,,National Institute of Allergy and Infectious Diseases,,,,,,HPAI,human,False,0.9,39814072
39810077,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39810077
39809744,,National Institute of Allergy and Infectious Diseases,,,,,,H5N1,experimental,False,0.9,39809744
39803542,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39803542
39799119,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39799119
39798434,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39798434
39794319,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,39794319
39774938,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39774938
39767449,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39767449
39747435,,National Institute of Allergy and Infectious Diseases,,,,,,H5N1,experimental,False,0.9,39747435
39742506,,National Institute of Allergy and Infectious Diseases,,,,,,H3; H7; H10,experimental,False,0.9,39742506
39719481,,National Institute of Allergy and Infectious Diseases,,,,,,monkeypox virus,experimental,False,0.9,39719481
39719110,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39719110
39718991,,National Institute of Allergy and Infectious Diseases,,,,,,"EBOV GP1,2",experimental,False,0.9,39718991
39715748,,National Institute of Allergy and Infectious Diseases,,,,,,,,False,0.0,39715748
39715280,,National Institute of Allergy and Infectious Diseases,,,,,,,,False,0.0,39715280
39697187,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,39697187
39695262,,National Institute of Allergy and Infectious Diseases,,,,,,PECOS,experimental,False,0.9,39695262
39680623,,National Institute of Allergy and Infectious Diseases,,,,,,EBOV and MARV,experimental,False,0.9,39680623
39679349,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39679349
39677750,,National Institute of Allergy and Infectious Diseases,,,,,,H1N1,human influenza,False,0.9,39677750
39666753,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39666753
39642242,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39642242
39607906,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39607906
39605478,,National Institute of Allergy and Infectious Diseases,,,,,,Herpesviridae,experimental,False,0.9,39605478
39605425,,National Institute of Allergy and Infectious Diseases,,,,,,,,False,0.0,39605425
39602262,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39602262
39599507,,National Institute of Allergy and Infectious Diseases,,,,,,JAK-1; JAK-2,clinical,False,0.9,39599507
39585640,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39585640
39585633,,National Institute of Allergy and Infectious Diseases,,,,,,MARV,experimental,False,0.9,39585633
39585614,,National Institute of Allergy and Infectious Diseases,,,,,,Marburg virus,experimental,False,0.9,39585614
39580804,,National Institute of Allergy and Infectious Diseases,,,,,,IGHV1-69,experimental,False,0.9,39580804
39565753,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39565753
39560427,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39560427
39559990,,National Institute of Allergy and Infectious Diseases,,,,,,Ebola virus disease,experimental,False,0.9,39559990
39541970,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39541970
39540114,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,39540114
39533045,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39533045
39499953,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39499953
39489282,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39489282
39479769,,National Institute of Allergy and Infectious Diseases,,,,,,MG-CLS,clinical,False,0.8,39479769
39478781,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39478781
39475850,,National Institute of Allergy and Infectious Diseases,,,,,,STAT1; STAT3,,False,0.9,39475850
39471070,,National Institute of Allergy and Infectious Diseases,,,,,,SCV2,experimental,False,0.9,39471070
39466844,,National Institute of Allergy and Infectious Diseases,,,,,,NiV,experimental,False,0.9,39466844
39459907,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39459907
39440808,,National Institute of Allergy and Infectious Diseases,,,,,,RSV,chimera; chimeric; chimeric-like,False,0.9,39440808
39440405,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39440405
39434874,,National Institute of Allergy and Infectious Diseases,,,,,,mf; mf-derived extracellular vesicles (EVs),experimental,False,0.9,39434874
39426633,,National Institute of Allergy and Infectious Diseases,,,,,,TB,experimental,False,0.9,39426633
39426387,,National Institute of Allergy and Infectious Diseases,,,,,,monkeypox virus clade I,experimental,False,0.9,39426387
39400063,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39400063
39394249,,National Institute of Allergy and Infectious Diseases,,,,,,EVD,filovirus vaccine,False,0.9,39394249
39392378,,National Institute of Allergy and Infectious Diseases,,,,,,MIS-C,experimental,False,0.9,39392378
39383243,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39383243
39380156,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,39380156
39379249,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,clinical,False,0.9,39379249
39374605,,National Institute of Allergy and Infectious Diseases,,,,,,Ebola virus disease,experimental,False,0.9,39374605
39372768,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39372768
39372767,,National Institute of Allergy and Infectious Diseases,,,,,,H1N1,intranasal vaccines,False,0.9,39372767
39372734,,National Institute of Allergy and Infectious Diseases,,,,,,,,False,0.0,39372734
39369964,,National Institute of Allergy and Infectious Diseases,,,,,,JAK-STAT,clinical,False,0.9,39369964
39369791,,National Institute of Allergy and Infectious Diseases,,,,,,EBOV,experimental,False,0.9,39369791
39365051,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39365051
39345583,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39345583
39339853,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39339853
39333882,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39333882
39326422,,National Institute of Allergy and Infectious Diseases,,,,,,RSV,experimental,False,0.9,39326422
39325506,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,39325506
39324144,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39324144
39318203,,National Institute of Allergy and Infectious Diseases,,,,,,,,False,0.0,39318203
39296387,,National Institute of Allergy and Infectious Diseases,,,,,,H1N1; H3N2,experimental,False,0.9,39296387
39271151,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,39271151
39269963,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39269963
39269490,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,39269490
39264207,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39264207
39261482,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39261482
39240113,,National Institute of Allergy and Infectious Diseases,,,,,,NiV,experimental,False,0.9,39240113
39236733,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39236733
39236707,,National Institute of Allergy and Infectious Diseases,,,,,,MPXV,clinical,False,0.9,39236707
39235945,,National Institute of Allergy and Infectious Diseases,,,,,,H5N1,human immunodeficiency virus,False,0.9,39235945
39227514,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39227514
39219510,,National Institute of Allergy and Infectious Diseases,,,,,,,,False,0.0,39219510
39194245,,National Institute of Allergy and Infectious Diseases,,,,,,HIV-1,experimental,False,0.9,39194245
39174553,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39174553
39162510,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39162510
39147143,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39147143
39142660,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39142660
39136237,,National Institute of Allergy and Infectious Diseases,,,,,,Eosinophils,experimental,False,0.9,39136237
39134521,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39134521
39126087,,National Institute of Allergy and Infectious Diseases,,,,,,MARV,experimental,False,0.9,39126087
39109178,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39109178
39106267,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39106267
39081315,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39081315
39079210,,National Institute of Allergy and Infectious Diseases,,,,,,IAV,experimental,False,0.9,39079210
39078193,,National Institute of Allergy and Infectious Diseases,,,,,,MARV,experimental,False,0.9,39078193
39072316,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39072316
39070798,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39070798
39053480,,National Institute of Allergy and Infectious Diseases,,,,,,MERS-CoV-2,experimental,False,0.9,39053480
39052716,,National Institute of Allergy and Infectious Diseases,,,,,,,,False,0.0,39052716
39045384,,National Institute of Allergy and Infectious Diseases,,,,,,RSV,,False,0.9,39045384
39041439,,National Institute of Allergy and Infectious Diseases,,,,,,HIV-infected kidney transplant recipients with COVID-19,experimental,False,0.9,39041439
39023559,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,39023559
39018444,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,39018444
39013430,,National Institute of Allergy and Infectious Diseases,,,,,,H5N1,experimental,False,0.9,39013430
38996010,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38996010
38981485,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38981485
38978558,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38978558
38976733,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38976733
38973065,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38973065
38964362,,National Institute of Allergy and Infectious Diseases,,,,,,Nipah virus,clinical,False,0.9,38964362
38950078,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38950078
38939745,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38939745
38932404,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38932404
38912755,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38912755
38901738,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38901738
38883977,,National Institute of Allergy and Infectious Diseases,,,,,,,,False,0.0,38883977
38873606,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38873606
38861571,,National Institute of Allergy and Infectious Diseases,,,,,,TAFV,experimental,False,0.9,38861571
38861030,,National Institute of Allergy and Infectious Diseases,,,,,,STAT3 GOF,human disease,False,0.9,38861030
38842160,,National Institute of Allergy and Infectious Diseases,,,,,,Nipah virus,experimental,False,0.9,38842160
38839047,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,38839047
38834971,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,experimental,False,0.9,38834971
38815595,,National Institute of Allergy and Infectious Diseases,,,,,,COVID-19,clinical,False,0.9,38815595
38802413,,National Institute of Allergy and Infectious Diseases,,,,,,H7N9,experimental,False,0.9,38802413
38798323,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38798323
38786655,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38786655
38775275,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38775275
38761816,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38761816
38760932,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38760932
38754917,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38754917
38749479,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38749479
38748773,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38748773
38724757,,National Institute of Allergy and Infectious Diseases,,,,,,MPXV,experimental,False,0.9,38724757
38717904,,National Institute of Allergy and Infectious Diseases,,,,,,H2N2,experimental,False,0.9,38717904
38712124,,National Institute of Allergy and Infectious Diseases,,,,,,SARS-CoV-2,experimental,False,0.9,38712124
